"ISO3 Code","País","Región","Subregión ","Subregión detallada","Grupo de Ingresos del Banco Mundial ","¿Es miembro de la OIT? ","¿Incluido en las estimaciones de la OIT? "
"SAU","Arabia Saudita","Estados ?rabes","Estados ?rabes","Estados ?rabes","Ingreso alto","Si","Si"
"SEN","Senegal","?frica","?frica subsahariana","?frica Occidental","Ingreso mediano bajo","Si","Si"
"SRB","Serbia","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso mediano alto","Si","Si"
"SYC","Seychelles","?frica","?frica subsahariana","?frica Oriental","Ingreso alto","Si","No"
"SLE","Sierra Leona","?frica","?frica subsahariana","?frica Occidental","Ingreso bajo","Si","Si"
"SGP","Singapur","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Asia Sudoriental","Ingreso alto","Si","Si"
"SXM","Sint Maarten (Kingdom of the Netherlands)","Am?ricas","Am?rica Latina y el Caribe","Caribe","Ingreso alto","No","No"
"SVK","Eslovaquia","Europa y Asia Central","Europa oriental","Europa oriental","Ingreso alto","Si","Si (*)"
"SVN","Eslovenia","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso alto","Si","Si (*)"
"SLB","Islas Salom?n","Asia y el Pac?fico","Asia sudoriental y el Pac?fico","Islas del Pac?fico","Ingreso mediano bajo","Si","Si"
"SOM","Somalia","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si"
"ZAF","Sud?frica","?frica","?frica subsahariana","?frica del Sur","Ingreso mediano alto","Si","Si"
"SSD","Sud?n","?frica","?frica subsahariana","?frica Oriental","Ingreso bajo","Si","Si (*)"
"ESP","Espa?a","Europa y Asia Central","Europa del Norte, Sur y Occidental","Sur de Europa","Ingreso alto","Si","Si (*)"
"LKA","Sri Lanka","Asia y el Pac?fico","Asia meridonal","Asia meridonal","Ingreso mediano bajo","Si","Si"
"SDN","Sud?n","?frica","Norte de ?frica","Norte de ?frica","Ingreso bajo","Si","Si"
"SUR","Suriname","Am?ricas","Am?rica Latina y el Caribe","Am?rica del Sur","Ingreso mediano alto","Si","Si"
"SWZ","Eswatini","?frica","?frica subsahariana","?frica del Sur","Ingreso mediano bajo","Si","Si"
"SWE","Suecia","Europa y Asia Central","Europa del Norte, Sur y Occidental","Norte de Europa","Ingreso alto","Si","Si (*)"
"CHE","Suiza","Europa y Asia Central","Europa del Norte, Sur y Occidental","Europa occidental","Ingreso alto","Si","Si (*)"
