Region Name,Sub-region Name,Country Name,ISO3 Code,Grupo de Ingresos del Banco Mundial 
Europe,Western Europe,France,FRA,Ingreso alto
Europe,Western Europe,Germany,DEU,Ingreso alto
Europe,Western Europe,Liechtenstein,LIE,Ingreso alto
Europe,Western Europe,Luxembourg,LUX,Ingreso alto
Europe,Western Europe,Monaco,MCO,Ingreso alto
Europe,Western Europe,Netherlands,NLD,Ingreso alto
Europe,Western Europe,Switzerland,CHE,Ingreso alto
Oceania,Australia and New Zealand,Australia,AUS,Ingreso alto
Oceania,Australia and New Zealand,New Zealand,NZL,Ingreso alto
Oceania,Australia and New Zealand,Norfolk Island,NFK,Ingreso alto
Oceania,Melanesia,Fiji,FJI,Ingreso mediano alto
Oceania,Melanesia,New Caledonia,NCL,Ingreso alto
Oceania,Melanesia,Papua New Guinea,PNG,Ingreso mediano bajo
Oceania,Melanesia,Solomon Islands,SLB,Ingreso mediano bajo
Oceania,Melanesia,Vanuatu,VUT,Ingreso mediano bajo
Oceania,Micronesia,Guam,GUM,Ingreso alto
Oceania,Micronesia,Kiribati,KIR,Ingreso mediano bajo
Oceania,Micronesia,Marshall Islands,MHL,Ingreso mediano alto
Oceania,Micronesia,Micronesia (Federated States of),FSM,Ingreso mediano bajo
Oceania,Micronesia,Nauru,NRU,Ingreso alto
Oceania,Micronesia,Northern Mariana Islands,MNP,Ingreso alto
Oceania,Micronesia,Palau,PLW,Ingreso alto
Oceania,Polynesia,American Samoa,ASM,Ingreso mediano alto
Oceania,Polynesia,Cook Islands,COK,Ingreso mediano alto
Oceania,Polynesia,French Polynesia,PYF,Ingreso alto
Oceania,Polynesia,Niue,NIU,Ingreso alto
Oceania,Polynesia,Samoa,WSM,Ingreso mediano bajo
Oceania,Polynesia,Tokelau,TKL,Ingreso mediano bajo
Oceania,Polynesia,Tonga,TON,Ingreso mediano alto
Oceania,Polynesia,Tuvalu,TUV,Ingreso mediano alto
Oceania,Polynesia,Wallis and Futuna Islands,WLF,Ingreso alto
